放	set free; release; fire; shoot	ほう	はな.す・-っぱな.し・はな.つ・はな.れる・こ.く・ほう.る	N3	3	8
昔	once upon a time; antiquity; old times	せき・しゃく	むかし	N3	3	8
服	clothing; admit; obey; discharge	ふく		N4	3	8
板	plank; board; plate; stage	はん・ばん	いた	N2	3	8
油	oil; fat	ゆ・ゆう	あぶら	N2	3	8
波	waves; billows; poland	は	なみ	N2	3	8
注	pour; irrigate; shed (tears); flow into	ちゅう	そそ.ぐ・さ.す・つ.ぐ	N4	3	8
泳	swim	えい	およ.ぐ	N3	3	8
物	thing; object; matter	ぶつ・もつ	もの・もの-	N4	3	8
者	someone; person	しゃ	もの	N4	3	8
育	bring up; grow up; raise; rear	いく	そだ.つ・そだ.ち・そだ.てる・はぐく.む	N3	3	8
苦	suffering; trial; worry; hardship	く	くる.しい・-ぐる.しい・くる.しむ・くる.しめる・にが.い・にが.る	N3	3	8
表	surface; table; chart; diagram	ひょう	おもて・-おもて・あらわ.す・あらわ.れる・あら.わす	N3	3	8
乗	ride; power; multiplication; record	じょう・しょう	の.る・-の.り・の.せる	N3	3	9
係	person in charge; connection; duty; concern oneself	けい	かか.る・かかり・-がかり・かか.わる	N3	3	9
品	goods; refinement; dignity; article	ひん・ほん	しな	N4	3	9
客	guest; visitor; customer; client	きゃく・かく		N3	3	9
屋	roof; house; shop; dealer	おく	や	N4	3	9
度	degrees; occurrence; time; counter for occurrences	ど・と・たく	たび・-た.い	N4	3	9
待	wait; depend on	たい	ま.つ・-ま.ち	N4	3	9
急	hurry; emergency; sudden; steep	きゅう	いそ.ぐ・いそ.ぎ・せ.く	N4	3	9
拾	pick up; gather; find; go on foot	しゅう・じゅう	ひろ.う	N2	3	9
持	hold; have	じ	も.つ・-も.ち・も.てる	N4	3	9
指	finger; point to; indicate; put into	し	ゆび・さ.す・-さ.し	N3	3	9
昭	shining; bright	しょう		N1	3	9
柱	pillar; post; cylinder; support	ちゅう	はしら	N2	3	9
洋	ocean; sea; foreign; western style	よう		N4	3	9
炭	charcoal; coal	たん	すみ	N2	3	9
界	world; boundary	かい		N4	3	9
畑	farm; field; garden; one's specialty		はた・はたけ・-ばたけ		3	9
発	departure; discharge; publish; emit	はつ・ほつ	た.つ・あば.く・おこ.る・つか.わす・はな.つ	N4	3	9
相	inter-; mutual; together; each other	そう・しょう	あい-	N3	3	9
県	prefecture	けん	か.ける	N2	3	9
研	polish; study of; sharpen	けん	と.ぐ	N4	3	9
神	gods; mind; soul	しん・じん	かみ・かん-・こう-	N3	3	9
秒	second (1/60 minute)	びょう		N2	3	9
級	class; rank; grade	きゅう		N1	3	9
美	beauty; beautiful	び・み	うつく.しい	N3	3	9
負	defeat; negative; -; minus	ふ	ま.ける・ま.かす・お.う	N3	3	9
追	chase; drive away; follow; pursue	つい	お.う	N3	3	9
送	escort; send	そう	おく.る	N4	3	9
重	heavy; important; esteem; respect	じゅう・ちょう	え・おも.い・おも.り・おも.なう・かさ.ねる・かさ.なる・おも	N4	3	9
面	mask; face; features; surface	めん・べん	おも・おもて・つら	N3	3	9
倍	double; twice; times; fold	ばい		N2	3	10
勉	exertion; endeavour; encourage; strive	べん	つと.める	N4	3	10
員	employee; member; number; the one in charge	いん		N4	3	10
宮	shinto shrine; constellations; palace; princess	きゅう・ぐう・く・くう	みや	N1	3	10
島	island	とう	しま	N2	3	10
庫	warehouse; storehouse	こ・く	くら	N2	3	10
庭	courtyard; garden; yard	てい	にわ	N3	3	10
息	breath; respiration; son; interest (on money)	そく	いき	N3	3	10
旅	trip; travel	りょ	たび	N4	3	10
根	root; radical; head (pimple)	こん	ね・-ね	N2	3	10
流	current; a sink; flow; forfeit	りゅう・る	なが.れる・なが.れ・なが.す・-なが.す	N3	3	10
消	extinguish; blow out; turn off; neutralize	しょう	き.える・け.す	N3	3	10
病	ill; sick	びょう・へい	や.む・-や.み・やまい	N4	3	10
真	true; reality; buddhist sect	しん	ま・ま-・まこと	N4	3	10
荷	baggage; shoulder-pole load; bear (a burden); shoulder (a gun)	か	に	N2	3	10
起	rouse; wake up; get up	き	お.きる・お.こる・お.こす・おこ.す・た.つ	N4	3	10
速	quick; fast	そく	はや.い・はや-・はや.める・すみ.やか	N3	3	10
配	distribute; spouse; exile; rationing	はい	くば.る	N3	3	10
酒	sake; alcohol	しゅ	さけ・さか-	N3	3	10
院	inst.; institution; temple; mansion	いん		N4	3	10
動	move; motion; change; confusion	どう	うご.く・うご.かす	N4	3	11
